NAMES,DATE_OF_BIRTH,LOCATION,ID_NUMBER,DOC_TYPE,NAME_LABEL,DOB_LABEL,LOCATION_LABEL,ID_LABEL
QADIM J SUNDER,23 Jul 2006,MALDA,E3431280,PASSPORT,Full Name,Year of Birth,Address Location,Aadhaar Number
YOSHITA SETHI,15 Oct 1973,ABU DHABI,L7845097,PASSPORT,Names,DOB,Place of Issue,Passport Number
Rachana R,24-12-1989,Abu Dhabi,X9255305,PASSPORT,Name,DOB,Address Location,Aadhaar Number
BINA Z ARORA,24/09/1988,Raebareli,E8222892,PASSPORT,Holder Name,Date of Birth,Address Location,Aadhaar Number
Ishaan Krishnan,13 Oct 1972,VIJAYANAGARAM,G9712395,EXCEL_RECORD,Holder Name,Year of Birth,Place of Issue,Document ID
URVI LANKA,1985/09/03,Firozabad,7238 7766 4582,EXCEL_RECORD,Holder Name,Date of Birth,Address Location,Passport Number
VIHAAN R,1979/03/01,Chennai,6733 1850 4825,AADHAAR,Names,Year of Birth,Place of Issue,Document ID
YAUVANI H MUTTI,05/12/1973,Jabalpur,XXXX XXXX 5186,EXCEL_RECORD,Given Name,DOB,Address Location,Passport Number
Wahab K,13-03-1966,Himachal Pradesh,1062 9076 8762,EXCEL_RECORD,Name,Birth Date,Address Location,Passport Number
Mekhala Q Chakraborty,27 Sep 1978,NANDED,O3370014,PASSPORT,Given Name,DOB,Place of Birth,Passport Number
ARADHANA NATARAJAN,22/04/1968,BHOPAL,J6297341,PASSPORT,Given Name,Birth Date,Address Location,ID Number
PRATYUSH E KALLA,29/01/1999,BAREILLY,9831 1337 6392,EXCEL_RECORD,Names,DOB,Location,Passport Number
WRIDDHISH I,13-01-1967,DUBAI,E5763490,PASSPORT,Name,Year of Birth,Location,Aadhaar Number
Priya Merchant,15/03/1976,Rajasthan,XXXX XXXX 5611,AADHAAR,Name,Birth Date,Address Location,Aadhaar Number
ALKA M RAMANATHAN,1977/08/07,Haryana,7004 2489 9125,EXCEL_RECORD,Holder Name,DOB,Address Location,Passport Number
Kala Indira Sarna,29-09-1996,DHARMAVARAM,M2009200,PASSPORT,Name,Date of Birth,Place of Issue,Aadhaar Number
CHARLES ELIJAH BATRA,28 Dec 1977,THANE,K2411225,PASSPORT,Holder Name,Year of Birth,Place of Birth,Passport Number
RADHIKA SHARAF,23/01/1967,BATHINDA,3644 5484 3547,AADHAAR,Name,Birth Date,Place of Birth,Document ID
Sara Y,12/04/1970,Jaipur,XXXX XXXX 1293,AADHAAR,Given Name,Date of Birth,Place of Birth,Passport Number
Hamsini Vihaan Tella,16-09-1998,JAMSHEDPUR,XXXX XXXX 2384,EXCEL_RECORD,Given Name,Date of Birth,Place of Birth,Document ID
Oscar Khanna,18 Mar 1988,BARANAGAR,R3745732,PASSPORT,Full Name,DOB,Place of Birth,Document ID
Daksh Toor,10/09/2003,AJMAN,J1395707,PASSPORT,Holder Name,Date of Birth,Place of Issue,Aadhaar Number
Yug Walia,15 Dec 1967,BIHAR SHARIF,8116 2582 0383,EXCEL_RECORD,Holder Name,Birth Date,Place of Issue,Passport Number
AASHI N DHALIWAL,2005/11/27,Maharashtra,8719 0627 7004,AADHAAR,Name,Birth Date,Place of Issue,ID Number
Dalbir Q Nadkarni,1993/09/04,TUMKUR,G9386793,EXCEL_RECORD,Names,Date of Birth,Place of Birth,ID Number
Zansi H Bose,24-02-1986,BHUBANESWAR,5285 7712 6980,AADHAAR,Names,Birth Date,Place of Issue,Document ID
Falak Choudhry,01/09/1996,TIRUPPUR,1704 9821 0221,EXCEL_RECORD,Holder Name,Date of Birth,Location,ID Number
Sara H Mammen,11-10-2003,ALLAHABAD,T9638923,PASSPORT,Holder Name,Date of Birth,Place of Issue,Aadhaar Number
Charan U,2002/02/11,Kurnool,B4942553,PASSPORT,Given Name,Date of Birth,Place of Birth,Passport Number
MOHAMMED BUCH,05 Sep 1989,BHIWANDI,7516 4312 5185,EXCEL_RECORD,Given Name,Date of Birth,Address Location,Passport Number
Hiral Mitter,26-12-2003,PUDUKKOTTAI,XXXX XXXX 0403,AADHAAR,Given Name,Year of Birth,Place of Issue,Document ID
Bhavika Neelima Bhagat,09 Dec 1991,DHULE,W2020952,EXCEL_RECORD,Full Name,Birth Date,Address Location,Passport Number
CHRISTOPHER L DESHPANDE,10-04-2005,TELANGANA,0572 5193 1645,EXCEL_RECORD,Names,Date of Birth,Place of Issue,Passport Number
Abeer G Pau,1967/11/19,New Delhi,1007 0063 3238,EXCEL_RECORD,Holder Name,Year of Birth,Location,Passport Number
Kalpit N,19 Nov 2003,Avadi,9279 0627 2622,EXCEL_RECORD,Given Name,Year of Birth,Place of Issue,Aadhaar Number
Gayathri Kiaan Bansal,18/12/1974,Ajman,X7213713,PASSPORT,Names,Birth Date,Place of Birth,Document ID
AZAD B,01-03-1967,Maharashtra,XXXX XXXX 1509,EXCEL_RECORD,Name,Year of Birth,Address Location,Document ID
ZINAL BAGHYAWATI SOOD,20-01-1993,UDUPI,5707 1231 3085,AADHAAR,Full Name,Date of Birth,Address Location,Document ID
Zashil Kunda,04 Apr 1982,GUJARAT,1156 9374 9459,AADHAAR,Name,Year of Birth,Location,Aadhaar Number
OJAS HARITA MANDER,2008/01/12,KARAIKUDI,1103 9750 9204,EXCEL_RECORD,Names,DOB,Place of Birth,Aadhaar Number
ARUNIMA VARMA,28/04/1981,MAHARASHTRA,A7636504,EXCEL_RECORD,Full Name,Birth Date,Place of Birth,ID Number
Neha Q,07/10/1965,HARYANA,J0653804,EXCEL_RECORD,Holder Name,Date of Birth,Address Location,Document ID
Prisha Sane,01-05-1969,Akola,Z1288269,PASSPORT,Full Name,DOB,Location,Aadhaar Number
Lohit Z Pant,15 Dec 1990,KHORA ,0388 9723 8182,EXCEL_RECORD,Name,DOB,Place of Issue,Passport Number
Sara Z,17-03-2006,Orai,8547 9223 8447,EXCEL_RECORD,Holder Name,Birth Date,Place of Birth,ID Number
RAAGINI VEDANT BAWA,21 Feb 1989,Himachal Pradesh,XXXX XXXX 0135,AADHAAR,Name,Date of Birth,Location,Passport Number
Faris Pant,31/10/1965,Madhya Pradesh,Q5678835,EXCEL_RECORD,Holder Name,Year of Birth,Place of Birth,Document ID
William Parikh,17 Oct 2005,AL AIN,X7939693,PASSPORT,Full Name,Date of Birth,Address Location,Passport Number
Bhavini F,1985/08/09,BEGUSARAI,8588 5351 6965,AADHAAR,Names,Date of Birth,Place of Issue,Passport Number
ATI BALASUBRAMANIAN,19 Jan 2007,Madhya Pradesh,XXXX XXXX 8456,AADHAAR,Names,DOB,Address Location,Passport Number
Zilmil Gade,12-05-1970,UTTAR PRADESH,1381 2524 6839,EXCEL_RECORD,Given Name,Year of Birth,Place of Birth,Passport Number
Rehaan J Bose,2001/06/24,GUNTUR,3301 1502 7323,AADHAAR,Full Name,Year of Birth,Address Location,ID Number
Dalbir Chanchal Chokshi,2003/01/23,TELANGANA,XXXX XXXX 1816,AADHAAR,Holder Name,DOB,Location,ID Number
SHRAVYA G,24 Sep 1978,DIBRUGARH,XXXX XXXX 7741,AADHAAR,Holder Name,Year of Birth,Place of Birth,ID Number
AARNAV O,1991/06/10,TAMIL NADU,XXXX XXXX 5903,EXCEL_RECORD,Full Name,Date of Birth,Location,Passport Number
DAMYANTI I,19/10/2000,ETAWAH,XXXX XXXX 5176,EXCEL_RECORD,Names,Date of Birth,Address Location,ID Number
Manbir V Toor,09-05-1983,Bhind,8833 8257 3054,AADHAAR,Full Name,Birth Date,Place of Birth,Aadhaar Number
Indira Vasatika Natarajan,05-01-2006,ABU DHABI,D4280052,PASSPORT,Name,Year of Birth,Place of Birth,Aadhaar Number
TANVI BATH,1976/07/15,Tinsukia,XXXX XXXX 8893,AADHAAR,Full Name,Year of Birth,Address Location,Document ID
Vritti Peter Wable,2000/12/02,VIJAYAWADA,F9919334,EXCEL_RECORD,Given Name,DOB,Location,Aadhaar Number
Anthony Palla,1982/10/10,TIRUNELVELI,6516 2238 6600,AADHAAR,Names,Date of Birth,Place of Issue,ID Number
ALEXANDER KARAN,10-03-1983,Satna,8912 0834 3875,AADHAAR,Given Name,Birth Date,Place of Birth,Document ID
BIMALA LAKSHMI SONI,1982/07/19,Karnataka,4685 9373 2865,EXCEL_RECORD,Names,Birth Date,Place of Issue,Aadhaar Number
Patrick Pathak,02-03-1990,Panihati,I9872697,PASSPORT,Name,DOB,Place of Issue,Passport Number
JONATHAN J DUTT,1989/03/14,JAIPUR,2308 4827 1286,AADHAAR,Given Name,Year of Birth,Place of Birth,Document ID
NAVEEN NIRJA SRIVASTAVA,29-01-1982,Chandigarh,XXXX XXXX 4184,AADHAAR,Name,Date of Birth,Address Location,Passport Number
JAIRAJ C,1997/04/28,Patiala,7967 0225 4875,AADHAAR,Given Name,Year of Birth,Address Location,Document ID
CHARLES KEER,06 Dec 1969,KERALA,L1410173,EXCEL_RECORD,Name,Birth Date,Place of Birth,Document ID
JONATHAN ANAND,14/11/1970,Deoghar,XXXX XXXX 7364,AADHAAR,Full Name,Year of Birth,Place of Birth,Passport Number
NIRJA TATA,28/06/1993,Haryana,XXXX XXXX 0754,EXCEL_RECORD,Holder Name,Birth Date,Place of Issue,ID Number
BIMALA DALAL,15-01-1990,Ghaziabad,2937 7705 8707,EXCEL_RECORD,Full Name,Birth Date,Address Location,ID Number
Alexander C Mistry,1977/03/03,Jehanabad,XXXX XXXX 6147,AADHAAR,Given Name,Date of Birth,Location,Aadhaar Number
Bhavini F Varty,1994/06/27,DELHI,5227 6191 1252,EXCEL_RECORD,Given Name,Year of Birth,Location,Document ID
ARYAN R,1977/05/26,Madanapalle,B1448091,PASSPORT,Full Name,Birth Date,Place of Issue,ID Number
Yug Kanda,29 Aug 1996,BIHAR,Y5053401,EXCEL_RECORD,Given Name,Birth Date,Location,Passport Number
Zashil J,1965/10/28,CHANDRAPUR,H5978043,PASSPORT,Full Name,Date of Birth,Location,Aadhaar Number
LIAM ORINDER MORAR,1967/10/04,AL AIN,J9149296,PASSPORT,Given Name,Date of Birth,Location,ID Number
Qadim Y,13/01/1974,BIDAR,E8496313,EXCEL_RECORD,Given Name,Year of Birth,Address Location,Passport Number
WARINDER LOHIT YOHANNAN,26/10/1989,KERALA,9627 1591 6079,AADHAAR,Full Name,Date of Birth,Place of Birth,Passport Number
Vrishti Dalal,07/02/1999,BUXAR,T8616148,EXCEL_RECORD,Names,DOB,Place of Birth,Document ID
Dayita N Wagle,15/07/1978,Al Ain,Y7316638,PASSPORT,Holder Name,DOB,Location,ID Number
Tripti Varkey,06 Oct 1988,ANDHRA PRADESH,XXXX XXXX 1886,AADHAAR,Name,DOB,Place of Issue,Passport Number
VIHAAN I,27/01/1999,Delhi,J1134092,PASSPORT,Name,Date of Birth,Place of Birth,Aadhaar Number
KEVIN NAIDU,1972/03/14,AJMAN,Z6043391,PASSPORT,Names,Year of Birth,Place of Issue,ID Number
Rishi Uppal,13-08-2006,BOKARO,3039 6176 6847,AADHAAR,Name,Birth Date,Address Location,Aadhaar Number
Ekansh Pushti Pillay,24 Aug 1983,Kerala,XXXX XXXX 5005,EXCEL_RECORD,Given Name,Birth Date,Address Location,Aadhaar Number
NIHARIKA PANDIT,18 May 1979,VARANASI,1386 8054 3448,AADHAAR,Name,Birth Date,Location,ID Number
Theodore Wagle,24/04/1979,MUNGER,XXXX XXXX 7719,AADHAAR,Given Name,Date of Birth,Place of Birth,Aadhaar Number
Zayan Nathaniel Singhal,25/04/1973,Himachal Pradesh,4940 9071 4789,AADHAAR,Holder Name,DOB,Address Location,Passport Number
SHRAVYA D,21 Dec 1980,ODISHA,1292 2824 7093,AADHAAR,Names,Year of Birth,Address Location,Passport Number
UCCHAL BIR,07-09-1984,ANAND,XXXX XXXX 9422,EXCEL_RECORD,Given Name,Birth Date,Place of Issue,ID Number
Hemangini Z,27 Sep 1987,SECUNDERABAD,E9840646,EXCEL_RECORD,Holder Name,Birth Date,Place of Issue,Document ID
Udarsh Dube,01/04/2004,Uttar Pradesh,XXXX XXXX 9123,EXCEL_RECORD,Name,Birth Date,Location,Document ID
OWEN TARA,1975/05/20,JALNA,G5638668,PASSPORT,Name,Date of Birth,Address Location,Document ID
Aayush Harinakshi Vala,19 Aug 1976,MADHYA PRADESH,7670 5008 5779,AADHAAR,Names,Year of Birth,Place of Birth,ID Number
Hitesh Azaan Zacharia,15-04-1979,UDUPI,XXXX XXXX 3581,EXCEL_RECORD,Holder Name,DOB,Location,ID Number
Jagvi J,1976/11/18,Bhimavaram,XXXX XXXX 0393,AADHAAR,Name,DOB,Address Location,ID Number
Suhani Dominic Jaggi,1985/11/05,NANDED,XXXX XXXX 3537,AADHAAR,Name,Birth Date,Location,Passport Number
Nathaniel C Keer,21 Jul 1967,Tamil Nadu,3160 1139 7888,EXCEL_RECORD,Full Name,DOB,Location,ID Number
ANAMIKA BORDE,1983/08/10,Sagar,C0671039,PASSPORT,Names,Birth Date,Place of Issue,Aadhaar Number
YASHODHARA Q,02/11/2000,HARYANA,3068 4495 1004,AADHAAR,Given Name,Birth Date,Place of Birth,ID Number
Meera Mani,10/06/1986,SHARJAH,K1581222,PASSPORT,Full Name,DOB,Place of Issue,Aadhaar Number
Megha Anne,30/11/1968,TEZPUR,P4893721,PASSPORT,Name,Year of Birth,Place of Issue,ID Number
Chanakya P,1973/01/16,WEST BENGAL,XXXX XXXX 2826,AADHAAR,Given Name,Birth Date,Place of Issue,Passport Number
Victor B Balasubramanian,06 Feb 2000,Giridih,V7628073,PASSPORT,Holder Name,DOB,Address Location,ID Number
Tejas Mani,14-12-1986,BIHAR,XXXX XXXX 4330,EXCEL_RECORD,Full Name,DOB,Place of Birth,ID Number
Vidhi Q,1994/01/03,KARNATAKA,XXXX XXXX 4374,EXCEL_RECORD,Holder Name,Date of Birth,Place of Birth,Passport Number
Arunima Zaitra Sheth,26-02-1990,Ramagundam,E4362136,PASSPORT,Given Name,Year of Birth,Address Location,Aadhaar Number
Zayyan Sachi Tata,13 Feb 1985,Haldia,U6168793,PASSPORT,Full Name,Birth Date,Place of Birth,Passport Number
Varsha Nayak,22/01/1985,MUZAFFARNAGAR,XXXX XXXX 5230,AADHAAR,Names,Date of Birth,Location,Aadhaar Number
MATTHEW X GOEL,1985/03/28,JHANSI,F4373288,PASSPORT,Names,Birth Date,Location,Document ID
PAVANI THEODORE SWAMY,22/02/1968,Srinagar,W3239251,PASSPORT,Given Name,Year of Birth,Address Location,Aadhaar Number
OJASVI PATEL,13-03-1985,Chandigarh,C5820648,EXCEL_RECORD,Full Name,Year of Birth,Place of Issue,Aadhaar Number
Siddharth M Wali,01-10-1989,Naihati,XXXX XXXX 5762,AADHAAR,Names,Birth Date,Address Location,Document ID
Tanmayi Comar,05-06-1984,AL AIN,G5734538,PASSPORT,Full Name,Date of Birth,Address Location,ID Number
ETA N KEER,31 Jan 1982,LATUR,L2069219,PASSPORT,Full Name,Date of Birth,Location,Document ID
Ekanta H Tripathi,22 Dec 1986,AJMAN,A2531561,PASSPORT,Name,DOB,Address Location,ID Number
Tripti Prakash,15 Jan 1968,Ajman,D9384112,PASSPORT,Holder Name,DOB,Location,Document ID
Yoshita W Sagar,11 Nov 2002,ABU DHABI,R6250979,PASSPORT,Names,DOB,Place of Issue,Document ID
VAISHNAVI BALI,11 Aug 1978,SOLAPUR,4216 5859 6998,AADHAAR,Full Name,DOB,Address Location,ID Number
IRA M BATTA,10-06-1996,AMARAVATI,XXXX XXXX 0612,AADHAAR,Holder Name,Date of Birth,Place of Issue,Passport Number
Nachiket Shroff,09-12-1973,GANDHINAGAR,XXXX XXXX 0124,AADHAAR,Holder Name,DOB,Address Location,Aadhaar Number
DANIEL SHIVANSH DUGAR,19 Dec 1979,TIRUVOTTIYUR,I5239600,PASSPORT,Given Name,Date of Birth,Place of Birth,Document ID
VRISHTI SURA,23-11-1989,ODISHA,0814 3625 1076,AADHAAR,Holder Name,Year of Birth,Address Location,Document ID
Vihaan Oliver Rajagopalan,1996/01/27,BIDAR,R8177534,PASSPORT,Name,Date of Birth,Place of Issue,Passport Number
YASHAWINI H WALLA,04 Oct 1968,PHAGWARA,XXXX XXXX 0360,EXCEL_RECORD,Holder Name,Year of Birth,Address Location,ID Number
YASHAWINI M,13 May 1975,Punjab,XXXX XXXX 9907,EXCEL_RECORD,Name,Year of Birth,Place of Birth,ID Number
MAX BRIJESH DAS,04/12/1996,BHIWANI,XXXX XXXX 5412,AADHAAR,Given Name,Birth Date,Place of Birth,Document ID
Niharika I Seshadri,28/09/1970,Dubai,O8200985,PASSPORT,Holder Name,Year of Birth,Place of Issue,Aadhaar Number
ONKAR B ISSAC,1987/05/20,SHARJAH,I4846954,PASSPORT,Full Name,Birth Date,Place of Issue,ID Number
Zansi F Yohannan,13/06/1968,Avadi,E1572947,EXCEL_RECORD,Full Name,DOB,Place of Birth,ID Number
Robert Nagy,01 May 1999,NANDED,2795 3963 9644,AADHAAR,Holder Name,Year of Birth,Place of Birth,Passport Number
Ayush Vasudha Srinivasan,17 Aug 1990,SOUTH DUMDUM,R6731058,EXCEL_RECORD,Given Name,Date of Birth,Place of Birth,Aadhaar Number
Eiravati Balan,1977/12/03,ONGOLE,G3286748,PASSPORT,Name,Date of Birth,Place of Birth,Document ID
DHRUV SAHNI,29/12/2005,Suryapet,XXXX XXXX 0530,AADHAAR,Name,Year of Birth,Place of Issue,Passport Number
Anusha Z Jayaraman,16-11-1987,Mirzapur,L7114278,PASSPORT,Name,Birth Date,Address Location,Aadhaar Number
Tanish Laksh Lad,12 Apr 1990,KERALA,6773 9157 2567,AADHAAR,Full Name,Year of Birth,Place of Issue,ID Number
Yug Y Dass,23-06-1980,Dubai,U8551373,PASSPORT,Holder Name,DOB,Address Location,ID Number
Lila H,03/10/1989,Arrah,XXXX XXXX 4796,EXCEL_RECORD,Given Name,Date of Birth,Place of Birth,ID Number
Onveer Baria,1987/01/14,AURANGABAD,8065 8558 4232,EXCEL_RECORD,Full Name,DOB,Place of Birth,ID Number
UTKARSH RYAN PRADHAN,23-11-1974,CHANDIGARH,Y7032292,EXCEL_RECORD,Holder Name,Date of Birth,Location,Passport Number
Unni A,15 Mar 1987,FATEHPUR,D7010433,PASSPORT,Holder Name,Birth Date,Location,Document ID
Dipta Janani Raju,2001/04/23,Bilaspur,XXXX XXXX 7667,AADHAAR,Names,Year of Birth,Place of Issue,Passport Number
Girish Madhav Bhagat,10/08/2007,Sagar,XXXX XXXX 5485,EXCEL_RECORD,Names,Date of Birth,Place of Birth,Aadhaar Number
Ekanta T,02-05-1980,Uttar Pradesh,7372 3088 6917,AADHAAR,Full Name,DOB,Place of Issue,Passport Number
Aachal P Vasa,2004/11/02,Bijapur,N7426646,EXCEL_RECORD,Holder Name,DOB,Address Location,Passport Number
WAIDA PAI,11/04/1995,AL AIN,V1042977,PASSPORT,Names,Birth Date,Place of Issue,ID Number
Hemangini J,10/12/1978,UTTAR PRADESH,9222 9949 7209,EXCEL_RECORD,Name,Date of Birth,Place of Issue,Passport Number
Pranit Kala,31 Oct 2007,SULTAN PUR MAJRA,T3936363,PASSPORT,Full Name,Year of Birth,Place of Issue,Aadhaar Number
YAMINI MORE,1993/06/06,ABU DHABI,O3962236,PASSPORT,Full Name,DOB,Address Location,Aadhaar Number
Matthew Gokhale,29/10/1997,PUNJAB,A4246522,EXCEL_RECORD,Name,Year of Birth,Place of Birth,ID Number
THOMAS I DATE,22/06/2005,BUXAR,0331 6018 1589,AADHAAR,Full Name,Year of Birth,Address Location,Aadhaar Number
LIAM VIHAAN DEO,30 Sep 1983,GANGTOK,2387 5089 4756,AADHAAR,Name,Date of Birth,Location,Aadhaar Number
Peter Vivaan Tailor,17/03/1968,HARYANA,8363 7779 6358,AADHAAR,Full Name,Year of Birth,Address Location,ID Number
Kashvi Dash,05-11-1994,Bihar,3199 4853 8340,EXCEL_RECORD,Name,Year of Birth,Location,Aadhaar Number
AISHANI X SRIDHAR,22-03-1972,MAHARASHTRA,8258 6557 5195,EXCEL_RECORD,Name,Year of Birth,Place of Issue,Passport Number
Harini Chad,16-06-2003,DUBAI,E5755921,PASSPORT,Given Name,Date of Birth,Location,ID Number
Radha Swamy,1970/03/18,Satna,XXXX XXXX 8322,AADHAAR,Full Name,DOB,Place of Issue,Document ID
NEELIMA JAIN,31/01/1970,SATARA,V0397092,PASSPORT,Holder Name,DOB,Place of Birth,Aadhaar Number
AVNI SUBRAMANIAN,25 Feb 2002,TAMIL NADU,2289 4560 4802,EXCEL_RECORD,Given Name,Birth Date,Place of Birth,Aadhaar Number
Chanakya Mohanty,26/11/1974,WEST BENGAL,1412 1531 3706,EXCEL_RECORD,Given Name,Date of Birth,Place of Birth,Document ID
Ekbal Zilmil Chaudhuri,14-02-1981,TIRUNELVELI,Z8556803,EXCEL_RECORD,Name,Birth Date,Location,Passport Number
Ekaraj Wriddhish Sahota,18 Aug 1975,DELHI,XXXX XXXX 4626,AADHAAR,Holder Name,Date of Birth,Place of Birth,Passport Number
Lakshmi N Khanna,01/01/1966,Dhule,W6973493,EXCEL_RECORD,Names,Year of Birth,Place of Issue,Document ID
Kamya Sethi,19-09-1966,ABU DHABI,M4879296,PASSPORT,Names,Birth Date,Location,Aadhaar Number
AMOL E CHAD,09/06/1996,SONIPAT,T3506209,PASSPORT,Names,Date of Birth,Place of Birth,Document ID
BANJEET BHATIA,11-09-1973,Thiruvananthapuram,1871 6442 7612,AADHAAR,Given Name,Birth Date,Location,Document ID
Yoshita Nair,06/12/1986,RAJASTHAN,8930 7572 3408,AADHAAR,Holder Name,Date of Birth,Place of Birth,Document ID
YOCHANA DORA,12 Dec 2005,HYDERABAD,XXXX XXXX 6301,EXCEL_RECORD,Holder Name,Birth Date,Address Location,Aadhaar Number
ISHA Z TARA,17-06-2005,Karnataka,0597 5854 8578,AADHAAR,Holder Name,Birth Date,Place of Birth,Document ID
Raksha V Biswas,1973/01/05,Madhya Pradesh,XXXX XXXX 9682,AADHAAR,Full Name,Year of Birth,Location,Passport Number
Oviya Bhavsar,29 Nov 1993,SOLAPUR,XXXX XXXX 0290,AADHAAR,Name,Birth Date,Place of Issue,Aadhaar Number
JANUJA LAVANYA DAR,1969/03/02,GULBARGA,R0538978,EXCEL_RECORD,Name,Date of Birth,Location,Document ID
ADVAY BAWA,1969/09/06,DELHI,5644 2418 4512,EXCEL_RECORD,Holder Name,Year of Birth,Address Location,ID Number
